"","BankName","Date","Period","year","Country","CommonEquityT1","T1Capital","TOTAL.RISK.EXPOSURE.AMOUNT","CET1ratio","T1ratio","RwSovX","CDSit","sovindexCDS","sovindexexdomCDS","debtweightedindexCDS","EuroSTOXX600","TED-Spread","IBOXX5YEUSOVS","EURIBOR3M","GER3MYIELD","EUROSTOXX50VOLA","SovXWest10YCDS","ItraxxFIN","EuroTED","CDSisov","sovindexYield","sovindexexdomYield","debtweightedindexYield","Yieldisov"
"1","ABNAMROBANK",2010-12-16,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,114.686,559.775,559.775,146.473911110255,277.594,33,4.16,1.024,0.406,71125,1.783,299.92,0.618,58.862,6.46,6.46,2.91988160957277,2.14
"2","ABNAMROBANK",2010-12-17,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,113.215,571.983,571.983,147.805728278427,276.421,30,4.154,1.023,0.322,72383.5,1.809,320.59,0.701,60.316,6.51,6.51,2.90935631094298,2.11
"3","ABNAMROBANK",2010-12-20,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,115.168,574.492,574.492,151.64522819672,278.376,31,4.088,1.022,0.407,70101.5,1.838,333.83,0.615,60.946,6.68,6.68,2.86828223504639,2.05
"4","ABNAMROBANK",2010-12-21,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,118.593,589.713,589.713,155.576529538886,281.109,31,4.115,1.022,0.369,68170.63,1.857,350.36,0.653,60.071,6.85,6.85,2.89272954577609,2.05
"5","ABNAMROBANK",2010-12-22,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,119.576,595.69,595.69,158.255340348245,281.448,27,4.092,1.021,0.286,67618.94,1.882,347.5,0.735,60.644,7.08,7.08,2.85996670360663,1.98
"6","ABNAMROBANK",2010-12-23,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,119.569,599.755,599.755,159.716405724361,281.761,27,4.119,1.015,0.283,69706.38,1.899,339.1,0.732,60.395,7.14,7.14,2.86066788736094,1.98
"7","ABNAMROBANK",2010-12-24,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,119.564,599.05,599.05,160.25185548259,281.431,27,4.119,1.014,0.282,69706.38,1.898,340.33,0.732,62.269,7.1,7.1,2.86287449874905,1.98
"8","ABNAMROBANK",2010-12-27,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,119.57,599.386,599.386,160.228302066067,279.181,28,4.156,1.014,0.285,72919.31,1.899,340.33,0.729,60.795,7.11,7.11,2.88621456568498,2.01
"9","ABNAMROBANK",2010-12-29,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,119.583,605.659,605.659,163.508750623695,280.627,26,4.17,1.013,0.298,71368.75,1.914,341,0.715,60.623,7.14,7.14,2.91461225912237,1.96
"10","ABNAMROBANK",2010-12-30,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,119.567,610.477,610.477,160.943843596545,277.023,24,4.135,1.01,0.29,74613.56,1.911,340.67,0.72,61.023,7.14,7.14,2.88061909129753,1.91
"11","ABNAMROBANK",2010-12-31,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,119.558,614.949,614.949,160.187808858495,275.81,26,4.123,1.006,0.294,74613.56,1.91,340,0.712,63.041,7.16,7.16,2.86350904340506,1.91
"12","ABNAMROBANK",2011-01-03,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,119.558,609.269,609.269,162.788210274146,278.024,23,4.09,1.001,0.293,72820.63,1.913,340,0.708,61.019,7.48,7.48,2.89046734728583,1.87
"13","ABNAMROBANK",2011-01-04,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,117.13,609.57,609.57,162.238908841151,280.379,24,4.041,0.999,0.298,72599.63,1.886,325.83,0.701,60.425,7.13,7.13,2.865258367407,1.88
"14","ABNAMROBANK",2011-01-05,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,118.608,613.531,613.531,162.302633482033,280.48,24,4.09,0.998,0.291,72971.63,1.898,333,0.707,60.604,7.17,7.17,2.91370930296444,1.95
"15","ABNAMROBANK",2011-01-07,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,132.856,622.993,622.993,166.783641966428,281.019,24,4.134,0.997,0.293,75549.88,1.989,350.79,0.704,61.287,7.34,7.34,2.97203357685029,1.9
"16","ABNAMROBANK",2011-01-10,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,135.763,667.4,667.4,171.333279583525,278.483,24,4.142,0.995,0.309,78723.13,2.015,365,0.686,62.932,7.16,7.16,2.99398163257124,1.9
"17","ABNAMROBANK",2011-01-11,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,134.318,657.285,657.285,165.691710772952,281.981,24,4.161,0.995,0.44,74790.69,1.963,357.67,0.555,60.189,7.04,7.04,2.98500337905304,1.91
"18","ABNAMROBANK",2011-01-12,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,134.345,645.257,645.257,159.160118802321,285.787,23,4.202,0.995,0.348,69974.31,1.887,338,0.647,59.031,6.77,6.77,3.00339653660406,2
"19","ABNAMROBANK",2011-01-13,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,131.887,630.556,630.556,151.642519631109,284.037,22,4.154,0.998,0.398,68840,1.829,315.75,0.6,58.769,6.69,6.69,2.98664212604927,2.06
"20","ABNAMROBANK",2011-01-14,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,127.968,617.602,617.602,148.502836269248,283.767,21,4.126,1.006,0.428,67344,1.788,327.27,0.578,58.094,6.79,6.79,3.01346066620397,2.11
"21","ABNAMROBANK",2011-01-18,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,127.981,630.595,630.595,147.656140683296,286.701,20,4.22,1.012,0.482,65857.75,1.796,305.25,0.53,60.288,7.11,7.11,3.08951390638335,2.17
"22","ABNAMROBANK",2011-01-19,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,122.096,615.575,615.575,141.71314875102,282.717,20,4.179,1.014,0.448,66579.06,1.742,294.64,0.566,58.965,7.08,7.08,3.03480141890382,2.15
"23","ABNAMROBANK",2011-01-21,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,114.721,595.375,595.375,135.01765711069,281.258,19,4.186,1.025,0.517,65412.69,1.677,277.92,0.508,56.712,7.1,7.1,3.06740358701693,2.27
"24","ABNAMROBANK",2011-01-24,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,109.323,608.881,608.881,131.105065273759,281.992,18,4.17,1.029,0.52,64426.93,1.654,269.5,0.509,55.598,7.16,7.16,3.04336887625385,2.25
"25","ABNAMROBANK",2011-01-25,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,108.339,621.904,621.904,135.982363305708,280.098,18,4.201,1.031,0.626,65673.5,1.704,260.83,0.405,57.273,7.13,7.13,3.05263913561637,2.25
"26","ABNAMROBANK",2011-01-26,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,108.336,622.407,622.407,137.238171328596,282.466,19,4.256,1.051,0.591,64492.61,1.723,281.17,0.46,59.803,7.3,7.3,3.11131678610075,2.31
"27","ABNAMROBANK",2011-01-27,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,113.261,631.216,631.216,139.994284075055,282.882,18,4.295,1.057,0.616,63292.72,1.743,302.33,0.441,60.619,7.35,7.35,3.16409677486747,2.35
"28","ABNAMROBANK",2011-01-28,201012,"2010","NL",11573.5093712728,11573.5093712728,116328,0.0994903150683653,0.0994903150683653,12.8,115.709,618.871,618.871,138.179630818281,280.454,19,4.257,1.063,0.645,65205.81,1.724,285.33,0.418,60.811,7.5,7.5,3.1636721979967,2.33
"29","ABNAMROBANK",2011-09-01,201109,"2011","NL",12351.82155,15095.22416,115698.4237,0.106758771251954,0.130470439244195,75,202.857,455.123858666667,455.123858666667,222.446191936466,238.932,35,3.85,1.543,0.432,83046.5,2.599,416.42,1.111,79.753,4.92282666666667,4.92282666666667,2.79044669062195,1.68
"30","ABNAMROBANK",2011-09-02,201109,"2011","NL",12351.82155,15095.22416,115698.4237,0.106758771251954,0.130470439244195,75,202.869,468.384546666667,468.384546666667,229.993257648984,233.107,35,3.816,1.541,0.394,88302.5,2.664,431.71,1.147,83.106,5.00138666666667,5.00138666666667,2.76246943735308,1.59
"31","ABNAMROBANK",2011-09-06,201109,"2011","NL",12351.82155,15095.22416,115698.4237,0.106758771251954,0.130470439244195,75,220.098,520.842493333333,520.842493333333,252.036791374216,221.98,37,3.788,1.534,0.319,102068.3,2.836,472.96,1.215,88.5,5.4728,5.4728,2.86038246169445,1.5
"32","ABNAMROBANK",2011-09-07,201109,"2011","NL",12351.82155,15095.22416,115698.4237,0.106758771251954,0.130470439244195,75,220.035,502.413685333333,502.413685333333,238.594474262183,228.84,36,3.747,1.532,0.533,96437.06,2.77,469.92,0.999,83.33,5.28533333333333,5.28533333333333,2.79857302708881,1.49
"33","ABNAMROBANK",2011-09-08,201109,"2011","NL",12351.82155,15095.22416,115698.4237,0.106758771251954,0.130470439244195,75,220.042,503.89884,503.89884,240.707942167314,230.469,35,3.714,1.532,0.564,94923.38,2.775,460.83,0.968,84.838,5.2664,5.2664,2.76002739018773,1.43
"34","ABNAMROBANK",2011-09-09,201109,"2011","NL",12351.82155,15095.22416,115698.4237,0.106758771251954,0.130470439244195,75,229.945,538.769194666667,538.769194666667,256.282725304084,224.593,34,3.663,1.53,0.316,104803.1,2.903,491.3,1.214,88.918,5.42888,5.42888,2.76975343140912,1.33
"35","ABNAMROBANK",2011-09-12,201109,"2011","NL",12351.82155,15095.22416,115698.4237,0.106758771251954,0.130470439244195,75,234.766,576.850802666667,576.850802666667,271.339913363992,218.929,36,3.696,1.527,0.276,115574.1,3.042,557.18,1.251,94.333,5.66493333333333,5.66493333333333,2.8558154643352,1.35
